City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
246,zomba,-15.386,35.3188,298.09,73,35,0.67,MW,1707371080
247,ulaangom,49.9811,92.0667,246.56,94,98,1.8,MN,1707371080
248,kourou,5.1552,-52.6478,300.18,85,82,3.96,GF,1707371080
249,amqui,48.4638,-67.4313,261.28,99,94,0.7,CA,1707371081
250,sigli,5.3848,95.9609,302.46,68,16,2.67,ID,1707371081
251,yelizovo,53.1873,158.3805,269.0,45,75,1.0,RU,1707371081
252,shimoda,34.6667,138.95,281.54,68,74,1.91,JP,1707371081
253,dukhan,25.4297,50.7858,290.92,58,0,6.91,QA,1707371081
254,amos,48.5669,-78.1162,272.39,96,100,1.53,CA,1707371081
255,chonchi,-42.6128,-73.8092,280.99,97,34,0.85,CL,1707371081
256,uturoa,-16.7333,-151.4333,301.54,84,86,10.95,PF,1707370903
257,gaillimh,53.2719,-9.0489,277.03,90,100,12.67,IE,1707371082
258,ilhabela,-23.7781,-45.3581,296.98,91,61,1.24,BR,1707371082
259,port augusta,-32.5,137.7667,303.35,24,1,8.92,AU,1707371082
260,santana,-0.0583,-51.1817,300.25,89,40,1.54,BR,1707371082
261,calvi,42.5,8.8333,285.5,38,0,6.69,FR,1707371082
262,lycksele,64.5954,18.6735,258.08,92,75,3.09,SE,1707371082
263,hobyo,5.3505,48.5268,300.87,65,83,8.55,SO,1707371082
264,malpica,43.3228,-8.8105,286.29,73,100,13.14,ES,1707371082
265,noumea,-22.2763,166.4572,302.59,99,100,7.21,NC,1707371083
266,aykhal,66.0,111.5,250.15,96,100,2.05,RU,1707371083
267,fort st. john,56.2499,-120.8529,265.09,86,100,1.03,CA,1707370821
268,gaalkacyo,6.7697,47.4308,299.06,50,38,8.03,SO,1707371083
269,yerofey pavlovich,53.9667,121.9667,264.26,58,77,0.18,RU,1707371083
270,comodoro rivadavia,-45.8667,-67.5,288.07,41,0,13.89,AR,1707371083
271,holualoa,19.6228,-155.9522,293.91,80,75,2.06,US,1707371083
272,lae,-6.7221,146.9847,302.73,72,100,4.04,PG,1707371083
273,susanville,40.4163,-120.653,273.06,100,100,0.0,US,1707371084
274,paita,-5.0892,-81.1144,298.92,81,65,3.71,PE,1707371084
275,sungailiat,-1.85,106.1333,298.24,92,99,3.29,ID,1707370868
276,antibes,43.5624,7.1278,281.82,80,75,3.09,FR,1707371084
277,scottburgh,-30.2867,30.7532,296.44,78,100,3.17,ZA,1707371084
278,ardakan,32.31,54.0175,284.07,32,0,0.86,IR,1707371084
279,laascaanood,8.4774,47.3597,295.4,63,59,8.28,SO,1707371084
280,bhachau,23.2833,70.35,298.5,23,96,6.97,IN,1707371084
281,xingcheng,40.6167,120.7167,272.6,42,61,2.61,CN,1707371084
282,ambovombe,-25.1667,46.0833,299.37,69,3,1.77,MG,1707371085
283,mont-laurier,46.5501,-75.4993,271.94,96,94,0.7,CA,1707370880
284,ribeira grande,38.5167,-28.7,288.58,90,51,7.15,PT,1707371085
285,arraial do cabo,-22.9661,-42.0278,298.51,88,100,2.57,BR,1707370971
286,newman,37.3138,-121.0208,279.81,93,79,0.89,US,1707371008
287,feijo,-8.1642,-70.3536,296.47,87,80,1.07,BR,1707371085
288,lubango,-14.9172,13.4925,290.07,100,98,2.06,AO,1707371085
289,xilin hot,43.9667,116.0333,260.93,84,41,4.33,CN,1707371085
290,lata,40.1629,-8.3327,288.1,81,100,4.47,PT,1707371085
291,eyl,7.9803,49.8164,301.2,56,31,9.22,SO,1707371086
292,takoradi,4.8845,-1.7554,297.93,85,4,0.71,GH,1707371086
293,irece,-11.3042,-41.8558,295.45,71,99,3.15,BR,1707371086
294,padangsidempuan,1.3667,99.2667,303.32,64,73,1.59,ID,1707371086
295,lamu,-2.2717,40.902,302.08,72,9,5.22,KE,1707371086
296,byron bay,-28.65,153.6167,296.88,87,38,6.18,AU,1707371086
297,shevchenko,48.5,35.0,279.46,77,100,4.55,UA,1707371087
298,thompson,55.7435,-97.8558,258.24,85,100,4.12,CA,1707370951
299,nova vicosa,-17.8919,-39.3719,298.46,86,100,1.65,BR,1707371087
300,antsiranana,-12.2787,49.2917,302.08,75,76,2.69,MG,1707371087
301,oppdal,62.5943,9.6912,259.88,54,81,3.95,NO,1707371087
302,batang,-6.4846,110.7083,302.68,68,33,2.2,ID,1707371087
303,hargeysa,9.56,44.065,292.23,73,37,3.65,SO,1707371088
304,berber,18.0216,33.983,291.87,46,20,4.3,SD,1707371088
305,caconda,-13.7333,15.0667,289.75,82,98,0.34,AO,1707371088
306,el granada,37.5027,-122.4694,282.53,73,100,9.77,US,1707370974
307,carnarvon,-24.8667,113.6333,304.74,49,0,6.85,AU,1707371088
308,kaa-khem,51.6833,94.7333,246.71,94,72,0.96,RU,1707370987
309,sunne,59.8376,13.143,254.38,82,24,1.63,SE,1707371088
310,tubarjal,30.4999,38.216,284.58,52,0,3.95,SA,1707371089
311,terrace,54.5163,-128.6035,273.1,74,100,2.06,CA,1707370930
312,ariquemes,-9.9133,-63.0408,296.44,96,98,0.71,BR,1707371089
313,bandarbeyla,9.4942,50.8122,300.01,65,75,7.89,SO,1707371089
314,colonia,50.9333,6.95,277.07,92,100,1.03,DE,1707370808
315,raton,36.9034,-104.4391,271.49,59,0,6.69,US,1707371089
316,puerto lempira,15.2667,-83.7667,296.49,71,93,5.32,HN,1707371089
317,mantua,45.1667,10.7833,279.85,69,77,0.45,IT,1707370853
318,yuzhno-kurilsk,44.0306,145.8556,269.47,77,100,4.8,RU,1707371090
319,bereeda,11.8704,51.0579,299.72,63,99,6.63,SO,1707371090
320,lyantor,61.6195,72.1555,267.85,95,100,7.02,RU,1707371090
321,marsabit,2.3284,37.9899,294.68,68,10,8.67,KE,1707371090
322,gorakhpur,29.45,75.6833,292.66,18,11,6.94,IN,1707371090
323,beloyarskiy,63.7119,66.6722,266.48,90,100,4.02,RU,1707371090
324,ciudad lazaro cardenas,17.9583,-102.2,297.4,81,33,2.07,MX,1707370807
325,bayanhongor,46.7167,100.1167,255.78,70,4,0.83,MN,1707371091
326,port macquarie,-31.4333,152.9167,298.09,69,99,6.42,AU,1707371091
327,viqueque,-8.8673,126.3658,303.92,66,85,2.6,TL,1707371091
328,barra de santo antonio,-9.4047,-35.5072,299.75,83,77,3.94,BR,1707371091
329,kenora,49.8167,-94.4337,275.69,100,100,5.14,CA,1707370981
330,ola,59.5833,151.2833,252.75,86,10,2.12,RU,1707370798
331,lazaro cardenas,17.9583,-102.2,297.4,81,33,2.07,MX,1707370807
332,ascension,30.2169,-90.9001,286.19,92,87,3.97,US,1707371092
333,broken hill,-31.95,141.4333,305.08,20,32,6.62,AU,1707371092
334,hilo,19.7297,-155.09,293.73,89,40,1.54,US,1707371021
335,zag,46.9441,99.165,256.89,71,3,0.82,MN,1707371092
336,kharsawan,22.8,85.8333,295.81,20,28,2.68,IN,1707371092
337,kampli,15.4,76.6167,306.94,20,21,3.01,IN,1707371092
338,bardai,11.65,7.2333,287.32,22,6,5.13,NG,1707371092
